category,group,pc1_mean,pc1_std,n,variance_explained,n_features
Clinical — M03,GR,0.038257855763474714,1.5908807530553566,49,0.5465282532642858,6
Clinical — M03,No_GR,-0.02106331384730628,1.6859602413905332,89,0.5465282532642858,6
Biological — M03,GR,-0.0766215165018164,0.613291518613835,49,0.6406262523998614,3
Biological — M03,No_GR,0.042184879871786554,1.6637004154925945,89,0.6406262523998614,3
QIDS / BRMS / SSRS / BPRS — M03,GR,-0.29380068313616575,1.5337248362700977,49,0.3987067482583677,6
QIDS / BRMS / SSRS / BPRS — M03,No_GR,0.16175543228845074,1.5298807090299684,89,0.3987067482583677,6
MARS (medication adherence) — M03,GR,0.004836216456837963,1.428026107283197,49,0.2110375679553412,10
MARS (medication adherence) — M03,No_GR,-0.002662636026798488,1.4661207591238536,89,0.2110375679553412,10
TRQ (medication adherence) — M03,GR,-0.31717005693733114,0.9305481874573216,49,0.36963283522770624,8
TRQ (medication adherence) — M03,No_GR,0.1746217167407779,2.0056142379019635,89,0.36963283522770624,8
BMQ (belief in medication) — M03,GR,0.07386040297153305,2.5613213191991484,49,0.3129314188377312,18
BMQ (belief in medication) — M03,No_GR,-0.04066471624275404,2.2621685469115187,89,0.3129314188377312,18
Delta — medication changes,GR,-0.10224270342683972,1.32835214043042,49,0.2949078300082241,5
Delta — medication changes,No_GR,0.05629092660578811,1.1427874222403933,89,0.2949078300082241,5
Delta — anthropometric,GR,-0.05587718173796258,1.6912710946334213,49,0.9646405548116468,2
Delta — anthropometric,No_GR,0.03076384163101317,1.1891082189257933,89,0.9646405548116468,2
